ps,cor.258176_at,cor.258177_at,cor.258084_at,cor.251865_at,cor.257958_at,cor.255731_at,cor.256187_at,cor.258060_at,cor.259359_at
250236_at,0.09169669284,0.464130306,0.02469387661,0.1312658025,0.2810240134,0.5393497466,0.5551573501,0.3268320053,0.05075389638
250334_at,0.07613315207,0.4242188303,0.1057518297,0.185158486,0.2604038954,0.5031048233,0.5672917763,0.3341419409,0.145143532
250345_at,0.148071369,0.5047266095,0.09971451709,0.1737096851,0.5187137151,0.3142266225,0.3582951995,0.3930870751,0.05034614834
250414_at,0.1923155053,0.6427706298,0.1158581507,0.240549289,0.474088851,0.3841047245,0.5510569638,0.4369803741,0.003782922966
250439_at,0.2018556111,0.5193468646,0.08580778004,0.4376696871,0.3243530304,0.4119626637,0.4855597658,0.655191975,0.01691147595
250458_s_at,0.03785620195,0.4459692323,0.05190789711,0.2045481207,0.3121450697,0.5708043053,0.5451888323,0.3905258537,0.02209958922
250466_at,0.1705768166,0.5379504898,5.86E-05,0.504567518,0.3343827373,0.2537238263,0.3522450781,0.4545123893,0.07340608805
250567_at,0.0750448868,0.5563293782,0.2282006968,0.1387951004,0.5429852964,0.3763431347,0.4258510052,0.3248421704,0.06738319496
250652_at,0.1277992686,0.5348954572,0.1051169443,0.1579872996,0.5509479634,0.4049972413,0.4131184905,0.351229938,0.0126072044
250659_at,0.1085059964,0.5221692137,0.1850194748,0.1998584988,0.5471094433,0.3729457195,0.3579977783,0.3375691443,0.02475827818
250814_at,0.05679657477,0.4348559332,0.1591616185,0.02123339642,0.2861330354,0.5283753427,0.5342690353,0.2364479906,0.1486925319
250873_at,0.1330316092,0.5317260348,0.1360460005,0.2305621102,0.3297143141,0.3552703401,0.5429015098,0.3696816343,0.03663142105
250962_at,0.1425796173,0.5692877968,0.2208327467,0.2117475166,0.4838273849,0.451617424,0.5313628598,0.4246469544,0.08754102764
250963_at,0.1674406869,0.6188447721,0.04786261088,0.4016849842,0.4770171202,0.3439961853,0.4327222804,0.5576490485,0.004118410363
251064_at,0.1205799803,0.591392618,0.1768153094,0.1719759234,0.4825050672,0.4239971558,0.5498958459,0.3970835666,0.06944826312
251129_at,0.1621146013,0.5587848039,0.1490426865,0.227240603,0.4773376594,0.4170636273,0.5283623095,0.4135436292,0.04136914386
251204_at,0.2405358522,0.5423039569,0.2194391154,0.2044185966,0.5228671855,0.4309190532,0.4979225346,0.4521739948,0.1456797576
251236_at,0.06006527581,0.5597725692,0.08708147038,0.1169843312,0.552633053,0.3246806681,0.3346552332,0.3673639482,0.04547924015
251275_at,0.1610929973,0.5363102999,0.1771009175,0.1795192141,0.5256733963,0.4637540496,0.4315547115,0.3985104312,0.09624705263
251337_at,0.004680458775,0.5412653022,0.06346491377,0.2830131595,0.334238202,0.4974393677,0.5114297385,0.3246699325,0.07438639465
251338_at,0.1040864035,0.4482667377,0.1700213644,0.1594324506,0.2659753503,0.5087608202,0.5415548867,0.2778333676,0.1340335926
251547_at,0.06503800572,0.5212639609,0.2304180328,0.1499441169,0.5311608047,0.285447367,0.2219919416,0.2826012651,0.02961823795
251557_at,0.1278624063,0.5277514738,0.1302856399,0.2087438833,0.3718159987,0.473929039,0.529508836,0.4830641223,0.05893516007
251567_at,0.1780605334,0.6064734354,0.1307234082,0.2534484127,0.4924149561,0.4265240233,0.5337263507,0.4761072499,0.05277730117
251572_at,0.1780018181,0.4858858477,0.102788367,0.2120937283,0.5149286185,0.435282793,0.5547427551,0.4090775735,0.05361837813
251613_at,0.1795716613,0.582513107,0.07042297613,0.2550952216,0.4517290921,0.393826599,0.5548685228,0.4720647762,0.05228453086
251632_at,0.1162654832,0.5477226051,0.2542418129,0.1578860781,0.5420549311,0.3941590617,0.3358980577,0.3416374851,0.1335203231
251702_at,0.1166866996,0.5403967365,0.1789424993,0.1547914843,0.57867601,0.3514969731,0.3869628269,0.392560335,4.60E-04
251703_at,0.1719271971,0.5482365176,0.1319788688,0.1621257557,0.5820258787,0.4405890132,0.4672748093,0.4159522121,0.02366536678
251738_at,0.08712856038,0.4657404187,0.248446551,0.1023081647,0.3638830927,0.5609999782,0.5550405499,0.2777069584,0.02222852382
251836_at,0.111505485,0.5145314339,0.0188665829,0.5088961287,0.263126298,0.1869575972,0.2948466285,0.4341562006,0.08674821909
251909_at,0.1171126532,0.6118922625,0.1082677065,0.2609373513,0.530264764,0.339278565,0.405158311,0.4390229162,0.02328078395
251933_at,0.1773434941,0.5611257774,0.1657349257,0.3438052696,0.5287264377,0.2870533839,0.3541860266,0.4336542061,0.009604108388
252171_at,0.04564803816,0.3986961122,0.2315080257,0.01034305769,0.1953048569,0.5427614798,0.6289386362,0.3317679404,0.1526964925
